days_visited_exp_pre,days_visited_free_pre,days_visited_fs_pre,days_visited_hs_pre,days_visited_rs_pre,days_visited_vrs_pre,locale_en_US,revenue_pre,os_type_osx,os_type_windows,easier_signup,became_member,days_visited_post
9,19,22,27,7,27,0,0.29,0,0,0,0,15
20,26,28,21,8,22,1,0.66,0,0,0,0,24
18,13,19,28,26,3,1,0.44,0,1,1,1,10
11,27,22,20,12,16,0,0.08,1,0,1,1,31
28,16,6,10,19,11,1,15.09,0,0,0,0,13
19,27,19,8,7,15,0,42.15,0,0,1,0,13
28,15,27,20,16,3,1,1.28,0,0,1,1,1
3,14,5,11,24,1,0,2.95,0,0,1,1,7
16,13,12,9,5,27,0,0.3,1,0,1,0,1
17,18,5,7,1,23,0,0.1,0,0,0,0,5
9,5,8,26,20,17,0,0.1,0,1,1,0,2
11,17,24,22,17,0,0,40.51,1,0,1,1,24
16,27,16,4,25,24,0,0.1,0,1,0,0,26
17,2,0,4,13,10,1,63.51,0,1,0,0,10
4,21,25,0,15,1,1,3.84,1,0,1,0,9
2,22,17,28,25,6,0,0.12,0,0,0,0,16
15,21,18,22,10,25,0,8.78,0,0,1,0,20
16,23,19,11,24,24,1,75.04,0,1,0,0,17
8,0,1,15,2,6,0,40.26,0,1,0,0,-2
2,18,22,11,25,27,1,0.07,0,0,0,0,2
22,27,24,18,13,16,1,154.76,1,0,0,0,6
17,2,7,4,18,20,0,26.07,0,1,0,0,7
0,26,0,9,6,24,1,0.85,0,0,0,0,8
23,16,13,0,23,24,0,11.1,1,0,1,1,18
11,28,14,23,18,22,0,4.8,0,0,0,0,18
13,13,5,24,20,13,1,22.88,0,1,1,0,9
5,23,20,16,10,12,1,2.41,0,0,1,1,20
8,19,24,25,24,11,1,0.49,0,0,1,1,19
23,26,13,0,8,13,1,1.66,1,0,0,0,24
9,24,10,14,21,11,1,1.09,1,0,1,0,19
25,22,21,7,4,6,0,0.19,1,0,0,0,13
0,12,27,25,16,11,0,0.4,0,1,0,0,12
23,28,2,13,19,14,0,7.22,0,1,1,0,8
25,14,12,25,9,21,1,53.0,0,1,0,0,12
19,3,27,19,19,5,1,3.59,1,0,1,0,1
26,0,26,25,7,24,1,0.56,0,1,0,0,-2
25,27,3,23,0,21,0,0.13,1,0,0,0,13
16,19,5,12,26,2,1,1.49,0,1,1,1,9
10,25,14,13,17,5,1,8.85,0,0,1,0,15
13,0,16,22,21,8,1,0.44,0,0,0,0,4
3,1,5,27,14,19,1,284.24,0,1,0,0,-1
8,20,19,12,19,27,0,2.1,1,0,0,0,4
10,11,24,24,25,23,1,0.13,0,0,0,0,15
18,11,10,12,13,23,1,2.32,1,0,0,0,14
15,21,3,17,18,16,0,0.15,1,0,1,1,24
2,1,8,4,7,6,1,1.93,1,0,1,1,15
20,25,7,11,27,26,1,12.47,0,1,1,1,23
0,19,7,8,18,24,1,0.41,1,0,1,0,11
1,16,12,21,4,18,0,3.19,1,0,0,0,1
15,27,2,16,19,24,1,0.24,0,1,1,0,22
22,19,11,28,0,28,0,0.56,1,0,1,1,10
4,9,12,4,3,11,0,3.64,1,0,0,0,3
16,1,6,24,10,27,0,153.44,1,0,1,0,-2
22,17,23,9,13,5,1,9.11,0,0,1,1,14
1,20,16,22,5,10,0,12.14,0,1,1,1,16
10,13,15,18,6,11,0,0.0,0,1,0,0,0
11,15,17,23,2,21,1,22.63,1,0,0,0,7
21,21,8,7,12,4,0,0.16,0,1,0,0,6
15,9,2,4,13,8,0,3.16,0,0,0,0,13
12,11,11,5,12,11,0,0.14,0,0,0,0,9
14,8,2,17,5,25,0,199.56,0,0,1,1,-1
11,25,16,4,1,16,1,0.04,0,0,1,1,25
10,16,21,9,14,12,1,0.41,0,0,1,1,17
4,8,14,9,27,21,0,0.22,0,1,1,0,7
17,20,18,23,25,18,1,0.09,0,0,0,0,11
26,16,3,11,22,28,0,4.31,1,0,0,0,22
23,19,28,23,1,14,0,0.14,0,1,0,0,13
15,25,3,14,0,14,1,13.78,0,0,0,0,12
11,22,7,2,23,23,0,21.05,1,0,0,0,15
28,3,10,7,23,24,1,0.27,0,0,0,0,2
3,12,26,1,17,17,0,2.32,1,0,0,0,14
15,19,24,11,11,0,0,3.81,1,0,1,1,20
6,12,5,17,20,17,1,45.83,0,1,1,1,0
10,26,8,4,0,24,1,3.69,0,0,0,0,23
10,7,26,1,8,19,1,3.26,0,1,0,0,-1
6,17,0,23,26,12,0,0.69,1,0,0,0,5
21,23,3,12,7,23,0,0.0,0,0,1,1,24
24,2,12,24,18,28,1,33.45,1,0,1,0,-4
11,21,21,27,16,14,1,27.55,1,0,1,1,26
26,6,11,8,23,20,1,23.85,0,1,0,0,2
23,18,2,22,25,24,1,0.24,1,0,1,1,21
14,23,6,7,3,2,1,0.01,0,1,1,1,20
26,9,13,2,28,7,0,0.02,1,0,0,0,0
14,12,28,1,12,14,1,13.53,0,1,0,0,5
14,5,1,17,9,7,0,0.34,0,1,1,0,1
13,0,8,22,3,7,1,0.0,1,0,1,1,-3
8,16,14,5,4,26,0,0.27,0,0,1,1,15
2,6,4,6,5,9,1,646.41,0,0,1,0,-6
1,4,4,8,13,1,0,0.56,0,1,1,1,6
15,28,16,8,9,4,0,0.41,1,0,0,0,13
3,12,26,13,13,14,0,1.49,0,1,0,0,0
11,15,27,2,24,26,1,0.03,0,0,1,0,7
9,1,16,7,19,24,1,1.71,0,1,1,0,0
6,1,14,27,24,6,0,0.0,0,1,1,0,-7
12,16,12,1,18,14,0,1.23,1,0,0,0,16
14,23,9,28,12,10,1,90.3,0,1,0,0,24
0,22,8,0,1,24,0,0.28,0,0,0,0,6
28,17,19,5,1,25,0,0.01,1,0,0,0,17
20,7,6,25,21,16,0,0.2,0,0,0,0,1
7,10,17,11,27,23,0,2.75,0,0,0,0,4
15,19,24,2,22,15,0,17.04,0,0,0,0,2
25,13,16,20,8,7,1,0.74,0,0,0,0,4
8,16,24,0,24,2,0,20.23,0,0,1,1,26
15,3,2,17,25,16,1,22.15,0,0,0,0,10
17,18,24,17,8,25,0,0.17,1,0,1,1,7
20,4,1,14,13,28,1,2.31,0,1,1,0,-2
19,26,18,9,5,18,0,351.29,0,0,1,1,12
21,13,0,0,8,25,1,1.47,0,1,1,0,17
26,5,13,1,8,19,1,79.19,0,1,1,1,1
0,22,1,6,4,27,0,0.0,0,1,1,1,24
22,22,11,9,0,12,0,0.86,0,0,0,0,22
22,9,22,21,5,3,1,26.8,0,0,1,1,2
6,24,20,27,3,1,1,5.93,1,0,0,0,12
27,10,26,15,4,2,1,7.62,0,1,1,1,0
4,12,4,0,23,16,1,0.62,0,0,0,0,18
22,2,2,0,28,15,0,35.28,0,1,1,0,11
15,10,27,14,8,19,0,0.06,0,1,1,1,10
27,26,10,2,3,1,0,1.21,0,1,1,1,13
19,5,19,16,2,16,0,2.28,1,0,1,1,15
9,1,17,14,5,16,1,0.56,0,1,1,0,-3
19,0,9,19,21,17,1,0.27,1,0,0,0,-4
5,9,26,5,1,25,0,235.53,0,1,0,0,2
23,3,0,18,23,21,1,0.42,1,0,0,0,9
20,13,25,9,28,16,1,5.79,0,1,1,0,20
16,2,19,24,0,2,1,372.69,0,1,0,0,-4
26,19,28,16,1,28,0,0.48,0,0,1,1,16
12,5,23,10,28,27,0,0.41,0,0,0,0,7
16,8,3,8,3,16,1,1.89,0,0,0,0,9
16,0,23,22,23,11,0,220.3,1,0,1,0,-1
19,25,20,23,14,22,1,0.04,1,0,1,1,14
8,14,0,24,20,13,0,61.4,1,0,0,0,15
5,27,28,5,16,11,0,0.27,0,1,0,0,16
4,3,23,8,16,12,0,13.15,0,0,0,0,-3
28,21,25,19,6,9,0,287.13,1,0,0,0,12
23,9,10,24,23,12,1,4.18,1,0,1,1,12
16,23,6,6,8,5,1,0.0,1,0,1,1,27
0,1,7,23,13,6,1,0.27,1,0,0,0,10
24,2,23,4,21,27,1,3.16,1,0,0,0,5
15,11,16,9,12,22,1,0.03,0,1,0,0,0
27,27,5,7,2,12,1,2.15,1,0,0,0,20
25,0,16,26,3,18,1,0.01,0,1,0,0,2
16,22,25,4,11,22,1,0.42,0,0,0,0,3
28,14,5,27,23,22,1,0.01,0,0,1,1,14
2,21,27,2,21,21,1,0.38,0,1,1,1,15
24,19,11,10,5,25,1,1.12,0,1,1,1,7
24,5,24,18,9,23,1,4.62,0,0,1,1,11
12,23,21,9,6,17,0,5.06,0,1,0,0,18
25,24,18,2,20,18,1,3.41,0,0,1,1,15
2,20,0,0,10,25,0,0.52,1,0,0,0,17
20,23,21,2,27,25,1,25.51,0,0,0,0,21
13,14,10,14,5,11,1,288.73,0,0,1,1,5
26,11,14,19,3,25,0,0.06,1,0,1,1,8
0,12,16,21,13,27,1,0.02,0,1,0,0,7
15,27,28,18,9,15,1,0.06,0,1,1,1,11
5,9,16,21,23,6,1,0.77,0,0,0,0,1
14,7,8,17,16,26,0,0.01,0,0,1,1,14
2,27,1,23,22,2,1,0.01,0,0,0,0,20
23,16,12,15,17,8,1,0.0,0,0,0,0,17
0,19,22,9,26,25,1,132.11,0,0,1,1,14
28,21,17,10,13,14,0,0.21,1,0,0,0,12
6,16,28,11,3,19,1,0.01,0,0,1,1,5
16,10,25,2,2,23,1,13.56,0,1,1,1,13
23,11,22,3,19,2,1,0.74,0,1,1,1,9
20,20,10,9,0,28,0,50.22,0,1,1,0,7
1,6,10,20,11,0,0,0.49,0,0,0,0,14
3,4,23,18,11,6,1,0.59,0,1,1,0,-1
22,9,23,27,19,20,1,0.04,1,0,1,0,-1
22,22,12,20,4,0,1,1.89,0,0,0,0,20
8,11,21,5,0,19,0,1.72,0,1,1,1,8
23,16,10,27,9,4,1,1.78,0,0,0,1,12
18,10,18,21,0,28,0,0.2,0,0,1,1,14
15,7,3,21,19,10,0,0.23,0,0,0,1,9
1,3,28,18,7,28,0,5.09,1,0,0,0,14
5,13,0,9,18,8,1,0.01,1,0,1,1,1
22,10,9,19,17,12,0,0.03,0,0,1,1,0
9,3,1,20,21,5,1,0.35,0,0,1,0,2
25,2,5,7,2,26,0,73.75,0,0,1,1,8
5,11,27,6,16,23,0,0.01,0,1,0,0,0
16,11,1,11,22,23,0,243.99,0,1,0,0,2
28,24,3,26,13,26,1,28.29,1,0,1,0,7
0,18,11,17,26,17,0,2.5,0,0,1,1,9
24,0,20,22,11,7,1,0.03,0,1,1,0,3
3,12,1,0,16,3,0,1.09,1,0,1,0,1
15,3,27,2,20,14,1,8.74,0,1,0,0,7
8,27,19,25,5,7,1,2.25,1,0,1,1,26
10,17,17,1,4,4,0,0.16,1,0,1,1,10
26,16,0,11,22,18,0,3.28,0,1,1,0,1
7,4,26,11,1,12,1,0.18,0,1,0,0,11
17,4,11,17,15,13,0,2.3,0,1,1,1,2
7,21,7,4,17,16,1,0.14,0,0,0,0,18
23,0,18,4,20,11,0,286.2,1,0,0,0,9
6,22,21,8,20,8,0,0.1,0,0,0,0,10
4,28,27,0,28,4,1,0.02,0,0,1,1,20
11,19,0,10,0,26,0,0.08,1,0,0,0,2
18,22,25,28,7,9,0,0.01,0,1,0,0,11
7,9,1,12,7,24,0,0.09,0,0,1,1,7
7,26,27,28,10,20,1,16.16,1,0,0,0,21
21,17,11,21,6,1,0,0.02,0,1,0,0,16
27,8,17,22,10,23,1,0.03,0,0,0,0,-2
26,20,13,4,22,0,1,11.23,0,1,1,1,17
6,22,20,28,1,17,1,41923.74,1,0,1,0,17
8,6,21,1,20,4,0,12.31,1,0,0,0,4
0,3,14,28,4,21,0,1.55,0,1,0,0,5
26,4,23,21,28,15,1,11.12,0,1,1,1,5
28,27,3,2,12,13,0,0.9,1,0,0,0,5
10,28,14,15,10,3,0,22.22,1,0,1,1,27
7,14,8,2,26,27,0,0.45,1,0,1,1,7
18,6,20,8,20,25,0,8.58,0,0,1,0,15
5,10,11,22,10,13,0,0.34,0,0,1,1,16
16,8,22,15,14,11,1,3.95,0,1,1,1,10
20,27,27,16,7,0,1,20.25,0,1,1,1,16
11,1,9,11,12,16,1,0.51,1,0,1,0,0
10,21,5,19,17,7,1,2.32,1,0,1,1,7
20,11,23,3,26,27,0,1.47,1,0,1,0,6
20,10,22,6,27,20,1,11.76,0,0,1,1,4
27,22,24,25,17,6,1,4.53,1,0,1,1,11
20,18,24,11,19,21,1,38.18,0,1,1,1,16
13,23,7,9,13,27,1,0.05,1,0,1,0,13
15,24,24,26,10,6,1,0.03,0,0,1,1,18
28,12,20,25,16,0,1,0.04,0,0,1,1,10
23,17,1,5,7,3,1,0.0,0,0,0,0,18
7,27,4,2,9,27,0,25.09,1,0,1,1,13
2,11,24,12,1,0,0,50.86,0,1,0,0,2
11,5,25,10,22,23,0,0.14,1,0,1,1,4
27,11,22,13,20,15,1,4.76,1,0,0,0,6
18,6,11,5,4,23,1,5.81,1,0,0,0,13
13,21,17,9,22,27,0,0.01,0,1,1,1,7
10,11,11,24,17,19,0,0.32,0,1,0,0,0
10,24,24,8,7,25,1,0.12,0,1,0,0,4
1,13,23,9,11,10,1,2.84,0,0,0,0,0
19,7,20,9,22,6,1,0.55,0,1,1,1,8
6,20,22,13,10,4,0,3.3,0,0,0,0,22
8,21,20,25,19,24,0,2.59,1,0,0,0,5
18,24,21,2,8,25,1,1.71,1,0,0,0,9
11,1,25,12,27,3,1,38.38,0,0,0,0,-1
22,16,12,6,1,15,0,0.51,1,0,0,0,21
12,28,14,20,13,5,1,0.7,0,0,0,0,9
13,19,16,10,23,13,0,83.43,0,1,1,1,16
13,6,25,13,1,13,0,0.41,0,1,1,1,7
22,8,17,17,0,9,1,0.03,1,0,0,0,2
11,19,9,3,11,26,1,0.02,0,0,1,1,15
20,13,20,12,3,22,1,0.19,1,0,1,0,4
17,7,11,27,26,7,1,1029.14,0,0,0,0,10
8,12,19,21,15,7,1,0.0,1,0,0,0,0
0,6,7,16,6,17,0,3.35,0,0,1,1,0
1,20,27,8,23,17,0,3.79,0,0,1,1,11
3,3,6,9,21,19,0,0.0,0,0,0,0,7
18,7,1,8,6,22,0,1.94,0,1,1,1,0
19,11,5,19,1,20,1,4.73,0,1,1,1,15
12,28,16,5,7,3,0,4.81,0,1,1,0,18
16,15,26,12,28,0,1,3.4,0,0,0,0,9
14,9,1,9,27,3,0,162.7,0,1,0,0,11
8,2,6,1,23,15,1,0.69,1,0,1,1,11
8,13,8,6,22,5,1,0.01,0,0,0,0,0
25,9,1,6,6,13,0,517.12,1,0,1,1,8
16,14,27,14,2,6,1,0.59,0,0,0,0,13
2,10,27,28,26,25,0,1.19,0,0,1,1,4
19,9,1,0,6,5,0,2.14,1,0,1,0,4
2,7,20,3,26,16,1,3.08,0,1,1,1,12
1,23,16,19,23,2,1,2.04,1,0,1,0,15
10,16,3,4,16,11,1,0.06,0,1,0,0,17
13,21,12,4,23,16,0,110.63,0,0,1,0,13
0,18,28,24,22,18,0,0.11,1,0,0,0,12
2,1,4,2,5,20,0,0.05,0,0,1,0,-4
25,11,12,4,25,27,0,0.1,0,1,0,0,16
7,12,28,22,23,16,0,0.24,0,1,0,0,9
20,13,7,25,1,13,1,0.17,0,0,0,0,0
28,24,27,24,19,1,1,0.54,0,1,1,1,14
21,20,15,16,22,27,0,2.1,0,1,0,0,23
14,14,10,12,22,16,0,0.05,0,0,1,0,4
16,1,13,11,5,24,1,0.0,0,1,0,0,-3
20,25,7,28,0,14,1,3.09,1,0,1,1,23
2,16,3,2,27,8,1,0.6,1,0,0,0,2
5,11,25,21,17,26,0,0.02,0,0,0,0,4
10,16,15,3,6,22,1,7.17,0,1,1,1,22
17,16,0,18,4,7,1,12.13,0,0,0,0,4
6,17,20,19,18,7,1,5.16,0,1,0,0,0
22,24,18,7,2,8,0,0.16,0,0,1,1,24
12,10,26,12,25,3,0,9.16,0,1,0,0,7
19,27,3,13,13,11,1,0.44,0,1,0,0,15
19,0,13,13,6,4,1,0.04,0,0,0,0,-3
24,28,23,6,23,25,0,0.11,1,0,1,1,25
21,6,11,22,9,28,1,202.94,1,0,0,0,2
12,18,3,7,23,7,0,0.21,0,1,1,1,14
22,22,11,10,2,26,0,0.32,0,0,1,1,12
13,24,2,20,10,12,1,0.19,0,0,1,1,16
25,16,24,11,21,23,0,0.03,0,0,0,0,8
5,15,14,10,16,23,0,1.12,1,0,0,0,1
14,13,12,14,0,22,0,0.04,0,0,0,0,16
6,5,14,20,7,28,1,0.55,0,0,1,0,-2
13,17,21,19,8,5,1,245.29,0,1,0,0,3
25,24,8,8,11,14,1,6.11,1,0,1,1,26
22,19,24,18,2,18,0,0.3,0,0,1,0,20
23,6,14,5,12,21,0,2.33,0,1,1,0,9
8,9,22,6,3,12,1,6.19,0,1,0,0,9
27,18,15,27,27,18,1,178.82,0,1,0,0,2
26,9,12,5,13,14,0,36.79,0,1,0,0,9
22,0,2,21,6,17,1,0.63,0,0,1,1,4
12,10,25,3,9,3,0,0.02,1,0,0,0,12
27,1,26,26,14,18,0,0.17,0,0,1,0,-6
25,22,10,19,4,28,0,3.68,1,0,1,1,24
6,21,16,2,16,0,0,3.63,0,0,0,0,9
19,0,28,21,28,27,1,22.05,0,1,1,1,8
15,10,5,21,13,3,0,0.29,1,0,0,0,14
23,15,7,6,19,11,0,0.69,0,1,0,0,15
2,28,15,13,17,13,0,1.57,0,0,1,1,17
10,13,8,3,23,5,0,0.38,0,1,0,0,8
25,26,28,4,17,8,1,1.59,1,0,1,1,17
24,14,23,28,20,9,1,0.62,0,1,1,0,15
0,4,11,21,19,21,0,0.0,1,0,1,0,6
10,1,15,28,12,8,1,4.03,1,0,0,0,1
21,4,22,17,14,22,0,0.66,0,0,1,1,5
20,25,24,1,19,25,0,31.43,1,0,1,1,18
11,21,6,1,18,21,1,3.47,0,1,0,0,13
23,0,23,19,27,23,0,4.88,0,0,1,1,0
18,25,16,9,20,23,1,0.01,0,1,1,1,26
16,13,27,24,24,5,0,37.07,0,0,1,0,1
21,25,18,6,13,7,0,63.94,1,0,1,1,23
1,27,28,24,22,11,0,0.28,0,1,0,0,6
4,0,21,0,16,28,1,0.32,1,0,1,0,4
28,2,15,17,27,25,1,0.21,0,1,1,0,1
0,18,27,13,12,12,1,0.14,0,1,0,0,20
18,24,0,1,8,10,1,17.52,0,1,0,0,3
0,11,26,28,15,17,1,64.21,0,1,0,0,9
22,16,12,7,18,20,1,0.43,1,0,0,0,5
23,19,5,14,14,14,0,48.32,0,0,0,0,8
27,12,5,25,26,1,1,9.19,0,1,0,0,5
19,3,19,20,14,10,1,1.29,1,0,0,0,10
20,3,22,8,20,28,1,0.32,0,1,0,0,3
9,24,1,22,13,8,1,1.41,0,0,0,0,7
23,2,25,26,28,22,0,0.26,0,1,1,1,-2
25,11,1,5,11,3,1,8.94,0,0,0,0,4
5,1,19,22,28,16,0,101.88,0,1,1,1,4
16,19,12,7,4,1,1,0.0,1,0,0,0,16
21,0,27,0,8,4,1,8.56,0,0,0,0,2
7,19,23,17,17,13,0,0.01,1,0,1,1,8
4,25,3,26,28,7,0,0.24,0,1,1,1,13
21,23,7,7,22,11,1,5.82,1,0,1,1,26
28,26,25,9,16,23,0,0.06,0,0,0,0,7
11,4,19,10,7,0,0,46.65,0,0,1,1,12
17,3,16,0,11,8,0,6.1,1,0,1,1,11
19,0,6,21,2,28,0,9.67,1,0,1,1,4
