treated,age,educ,black,married,nodegree,dwincl,re74,re75,re78,hisp,early_ra,sample
,50,11,0,1,1,,24823.91,20504.56,0,0,,2
,53,12,0,1,0,,25862.32,0,16463.35,0,,2
,53,10,0,1,1,,0,0,0,0,,2
,50,12,0,1,0,,14379.06,11663.95,8134.885,0,,2
,46,16,0,1,0,,25862.32,25243.55,25564.67,0,,2
,46,16,0,1,0,,25862.32,25243.55,25564.67,0,,2
,42,12,0,1,0,,0,3931.548,14518.66,0,,2
,46,12,0,1,0,,20354.82,24445.06,25564.67,0,,2
,55,18,0,1,0,,25862.32,25243.55,25304.59,0,,2
,55,18,0,1,0,,25862.32,23632.26,25564.67,0,,2
,46,8,0,1,1,,22778.44,25243.55,25564.67,0,,2
,55,14,0,1,0,,0,0,0,0,,2
,55,14,0,1,0,,25862.32,25243.55,25564.67,0,,2
,55,14,0,1,0,,13714.87,23274.19,19321.28,0,,2
,55,14,0,1,0,,8393.499,19036.5,10639.63,0,,2
,49,18,0,1,0,,25862.32,25243.55,25564.67,0,,2
,55,13,0,1,0,,13738.38,13024.6,5989.226,0,,2
,55,12,0,1,0,,23334.87,23612.56,24834.67,0,,2
,55,12,0,1,0,,25627.21,17298.1,25564.67,0,,2
,55,12,0,1,0,,23262.38,23401.31,0,0,,2
,49,15,0,1,0,,25862.32,25243.55,9238.746,0,,2
,52,16,0,1,0,,8961.687,22427.37,24310.08,0,,2
,49,13,0,1,0,,25862.32,25243.55,25564.67,0,,2
,52,15,0,1,0,,0,0,0,0,,2
,49,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,49,12,0,1,0,,0,0,0,0,,2
,52,14,0,1,0,,25862.32,25243.55,25564.67,0,,2
,52,13,0,1,0,,25470.47,25241.76,23429.36,0,,2
,52,12,0,1,0,,16432.37,19664.9,21861.49,0,,2
,45,14,0,1,0,,25862.32,25243.55,25564.67,0,,2
,49,3,0,1,1,,5327.247,8240.854,13042.42,1,,2
,40,13,0,1,0,,25862.32,25243.55,25564.67,0,,2
,48,18,0,1,0,,9651.349,784.1613,17348.51,0,,2
,48,18,0,1,0,,25862.32,25241.76,25564.67,0,,2
,54,18,0,1,0,,19412.42,18189.68,16716.04,0,,2
,48,16,0,1,0,,25862.32,25243.55,25564.67,0,,2
,54,16,0,1,0,,11069.86,10741.94,0,0,,2
,48,13,0,1,0,,0,0,0,0,,2
,51,18,0,1,0,,25862.32,25243.55,25564.67,0,,2
,51,18,0,1,0,,8889.193,24437.9,11489.32,0,,2
,48,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,48,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,51,16,0,1,0,,0,0,0,0,,2
,54,12,0,1,0,,19919.87,19374.87,20312.83,0,,2
,54,12,0,1,0,,25862.32,25243.55,23244.64,0,,2
,54,12,0,1,0,,12678.42,12478.55,15923.98,0,,2
,54,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,51,15,0,1,0,,12788.13,12992.37,7415.232,0,,2
,51,14,0,1,0,,22345.44,25243.55,24245.06,0,,2
,44,12,0,1,0,,25862.32,25055.56,25564.67,0,,2
,51,12,0,1,0,,21236.49,17949.77,22204.32,0,,2
,51,12,0,1,0,,25862.32,25243.55,215.7481,0,,2
,51,8,0,1,1,,20221.59,14548.16,6921.671,0,,2
,51,8,0,1,1,,9847.275,10756.26,10635.2,0,,2
,51,3,0,1,1,,13246.6,11964.73,12605.01,1,,2
,43,16,0,1,0,,17182.77,22568.81,19968.52,0,,2
,43,15,0,1,0,,2121.886,3260.177,0,0,,2
,47,14,0,1,0,,19714.14,18368.71,4317.917,0,,2
,38,12,0,1,0,,17312.08,15957.15,0,0,,2
,47,13,0,1,0,,25862.32,25243.55,25564.67,0,,2
,47,12,0,1,0,,19177.3,18280.98,15740.74,0,,2
,47,12,0,1,0,,8052.586,7533.677,0,0,,2
,47,12,0,1,0,,25862.32,25243.55,9500.304,0,,2
,47,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,47,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,47,12,0,1,0,,0,0,0,0,,2
,47,12,0,1,0,,25862.32,23293.89,0,0,,2
,47,12,0,1,0,,18871.66,18366.92,19785.28,0,,2
,47,12,0,1,0,,16218.81,11583.39,20578.82,0,,2
,47,12,0,1,0,,25862.32,20522.47,24505.14,0,,2
,46,10,1,1,1,,17741.16,17136.97,21438.86,0,,2
,43,12,0,1,0,,25862.32,0,25564.67,0,,2
,43,12,0,1,0,,18334.82,18692.76,20100.04,0,,2
,43,12,0,1,0,,16303.06,14752.26,11965.15,0,,2
,50,18,0,1,0,,25862.32,25243.55,25564.67,0,,2
,50,18,0,1,0,,23611.13,23376.24,23315.57,0,,2
,47,6,0,1,1,,0,0,0,0,,2
,53,16,0,1,0,,3869.552,9345.483,15294.47,0,,2
,50,16,0,1,0,,25862.32,25243.55,25564.67,0,,2
,50,16,0,1,0,,0,0,0,0,,2
,53,15,0,1,0,,25862.32,25243.55,25564.67,0,,2
,18,12,0,0,0,,0,3485.758,5980.359,0,,2
,18,12,0,0,0,,0,0,15024.05,0,,2
,53,14,0,1,0,,20985.71,20289.73,20692.61,0,,2
,53,13,0,1,0,,25862.32,25243.55,25564.67,0,,2
,50,11,0,1,1,,21367.76,20950.36,23577.13,0,,2
,53,12,0,1,0,,25738.89,24742.26,25564.67,0,,2
,53,12,0,1,0,,9761.067,13393.4,2936.243,0,,2
,53,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,53,12,0,1,0,,18544.46,11631.73,0,0,,2
,53,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,53,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,53,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,48,13,0,0,0,,256.6639,0,6562.583,0,,2
,50,12,0,1,0,,2901.674,1962.194,118.2181,0,,2
,50,12,0,1,0,,15221.54,15776.32,15829.41,0,,2
,50,12,0,1,0,,21162.04,21485.66,21698.94,0,,2
,50,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,50,12,0,1,0,,25862.32,24090.58,0,0,,2
,50,12,0,1,0,,16540.13,13019.23,13869.94,0,,2
,50,12,0,1,0,,22098.57,22830.19,16407.2,0,,2
,53,9,0,1,1,,20838.76,20989.74,21192.08,0,,2
,54,12,0,0,0,,0,0,0,0,,2
,42,18,0,1,0,,25439.12,23275.98,25564.67,0,,2
,42,16,0,1,0,,25862.32,24321.53,195.0599,0,,2
,46,17,0,1,0,,25862.32,25243.55,11245.5,0,,2
,46,16,0,1,0,,0,0,0,0,,2
,42,10,0,1,1,,25862.32,25243.55,14155.14,0,,2
,46,15,0,1,0,,10125.49,11572.65,7131.508,0,,2
,46,14,0,1,0,,25862.32,13445.32,0,0,,2
,46,14,0,1,0,,19384.99,16680.44,19089.27,0,,2
,42,8,0,1,1,,20766.27,21845.52,24078.08,0,,2
,46,12,0,1,0,,16475.47,16497.82,19294.68,0,,2
,55,18,0,1,0,,25862.32,25243.55,25564.67,0,,2
,55,16,0,1,0,,25862.32,25243.55,25564.67,0,,2
,46,6,0,1,1,,21164,17885.32,25564.67,0,,2
,55,15,0,1,0,,22319.97,25243.55,25564.67,0,,2
,55,15,0,1,0,,24608.39,25243.55,25564.67,0,,2
,55,14,0,1,0,,0,0,0,0,,2
,55,14,0,1,0,,24200.86,25243.55,0,0,,2
,55,14,0,1,0,,17137.71,0,25564.67,0,,2
,55,13,0,1,0,,25862.32,25243.55,25564.67,0,,2
,55,13,0,1,0,,0,0,0,0,,2
,55,12,0,1,0,,16859.49,20889.48,15307.77,0,,2
,55,12,0,1,0,,11814.38,0,0,0,,2
,55,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,55,12,0,1,0,,17743.12,14498.03,11609.02,0,,2
,55,12,0,1,0,,25862.32,25243.55,564.4916,0,,2
,55,12,0,1,0,,5509.458,16716.24,11867.62,0,,2
,55,12,0,1,0,,15752.5,18798.39,13179.84,0,,2
,55,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,55,12,0,1,0,,12472.69,11511.77,11572.08,0,,2
,55,12,0,1,0,,14334,15692.18,15613.66,0,,2
,55,12,0,1,0,,9796.334,12800.81,14777.27,0,,2
,55,12,0,1,0,,25409.73,22565.23,25320.85,0,,2
,55,12,0,1,0,,0,0,0,0,,2
,55,10,0,1,1,,0,0,0,0,,2
,52,18,0,1,0,,25862.32,25243.55,25564.67,0,,2
,55,9,0,1,1,,15252.89,25243.55,25564.67,0,,2
,49,15,0,1,0,,25862.32,5370.968,0,0,,2
,24,13,0,0,0,,15664.34,12073.94,14904.35,0,,2
,52,16,0,1,0,,5478.11,22507.94,23877.11,0,,2
,26,12,0,0,0,,1201.031,0,21659.04,0,,2
,41,14,0,1,0,,25862.32,25243.55,25564.67,0,,2
,35,12,0,1,0,,24582.92,23788.02,24726.8,0,,2
,49,12,0,1,0,,12094.55,4296.774,1861.935,0,,2
,49,12,0,1,0,,25862.32,20400.73,18444.98,0,,2
,49,12,0,1,0,,20944.56,19290.73,20001.03,0,,2
,49,12,0,1,0,,16018.97,22262.66,16153.03,0,,2
,52,14,0,1,0,,25862.32,25243.55,25564.67,0,,2
,41,13,0,1,0,,19030.36,18300.68,19537.02,0,,2
,49,9,0,1,1,,21064.08,25243.55,25564.67,0,,2
,55,4,0,1,1,,24377.2,20026.55,20398.54,0,,2
,41,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,52,12,0,1,0,,25862.32,25243.55,19039.03,0,,2
,52,12,0,1,0,,4633.666,12668.32,21520.13,0,,2
,52,12,0,1,0,,21068,22785.44,23745.59,0,,2
,52,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,52,12,0,1,0,,25862.32,24650.95,24883.44,0,,2
,52,12,0,1,0,,25862.32,16970.47,25564.67,0,,2
,52,12,0,1,0,,23973.59,21548.32,17748.97,0,,2
,52,10,0,1,1,,13873.57,12489.29,13785.71,1,,2
,45,11,0,1,1,,852.2811,0,0,0,,2
,45,12,0,1,0,,21324.66,23370.87,18196.72,0,,2
,45,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,45,12,0,1,0,,0,4407.774,12303.55,0,,2
,45,12,0,1,0,,25862.32,23548.11,24738.62,0,,2
,45,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,52,7,0,1,1,,25862.32,14514.15,25564.67,1,,2
,40,16,0,1,0,,25862.32,25243.55,25564.67,0,,2
,40,12,0,1,0,,24016.69,18404.52,17586.42,0,,2
,40,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,40,12,0,1,0,,13634.54,15298.31,20627.59,0,,2
,40,12,0,1,0,,25862.32,25243.55,23653.97,0,,2
,48,18,0,1,0,,25862.32,25243.55,25564.67,0,,2
,48,18,0,1,0,,0,0,0,0,,2
,48,17,0,1,0,,0,0,0,0,,2
,54,17,0,1,0,,10458.57,11483.13,14292.57,0,,2
,54,16,0,1,0,,13483.67,3732.823,13636.46,0,,2
,54,15,0,1,0,,4406.391,6412.936,67.97543,0,,2
,54,15,0,1,0,,19776.84,21100.74,22446.67,0,,2
,48,13,0,1,0,,0,0,0,0,,2
,48,13,0,1,0,,25862.32,20714.03,25564.67,0,,2
,44,18,0,1,0,,20674.18,21127.6,20822.64,0,,2
,51,18,0,1,0,,25862.32,25243.55,0,0,,2
,54,14,0,1,0,,19202.77,19437.53,20215.3,0,,2
,48,12,0,1,0,,23146.78,5297.564,25564.67,0,,2
,54,14,0,1,0,,25862.32,24362.71,25564.67,0,,2
,48,12,0,1,0,,25862.32,12084.68,25564.67,0,,2
,48,12,0,1,0,,0,0,0,0,,2
,48,12,0,1,0,,25862.32,25243.55,24273.14,0,,2
,48,12,0,1,0,,0,0,0,0,,2
,48,12,0,1,0,,25591.94,25243.55,25564.67,0,,2
,54,13,0,1,0,,0,0,0,0,,2
,54,13,0,1,0,,22611.9,19672.06,21264.49,0,,2
,44,16,0,1,0,,25862.32,25243.55,25564.67,0,,2
,44,16,0,1,0,,25862.32,25243.55,25564.67,0,,2
,51,16,0,1,0,,25862.32,24860.42,24574.59,0,,2
,51,16,0,1,0,,3607.01,25243.55,0,0,,2
,54,12,0,1,0,,25862.32,1229.952,25564.67,0,,2
,54,12,0,1,0,,19982.56,19960.31,17206.65,0,,2
,54,12,0,1,0,,21058.2,21303.05,22508.73,0,,2
,54,12,0,1,0,,0,0,0,0,,2
,54,12,0,1,0,,15196.07,14188.31,1052.141,0,,2
,54,12,0,1,0,,0,0,0,0,,2
,54,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,54,12,0,1,0,,22415.97,21118.64,23322.96,0,,2
,54,12,0,1,0,,14531.88,13259.13,25564.67,0,,2
,54,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,54,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,54,12,0,1,0,,5166.586,1963.984,4473.078,0,,2
,54,12,0,1,0,,15127.5,12247.6,13698.53,0,,2
,54,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,54,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,54,12,0,1,0,,20374.42,20499.19,10261.33,0,,2
,48,8,0,1,1,,5470.273,2588.806,8703.81,0,,2
,51,15,0,1,0,,5593.707,12396.19,2523.957,0,,2
,51,15,0,1,0,,25862.32,16453.06,14605.85,0,,2
,44,14,0,1,0,,16908.47,1315.887,24276.09,0,,2
,51,14,0,1,0,,0,0,0,0,,2
,54,8,0,1,1,,22878.36,20137.55,17918.91,0,,2
,54,8,0,1,1,,25276.5,22241.18,25564.67,0,,2
,44,13,0,1,0,,25862.32,25243.55,25564.67,0,,2
,48,6,0,1,1,,23773.74,5650.258,0,0,,2
,51,13,0,1,0,,14569.11,20171.56,21664.95,0,,2
,44,12,0,1,0,,22030,14598.29,25564.67,0,,2
,44,12,0,1,0,,8270.065,8359.017,12610.92,0,,2
,44,12,0,1,0,,21465.73,17532.63,25564.67,0,,2
,44,12,0,1,0,,18916.72,16182.73,21121.15,0,,2
,44,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,51,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,51,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,51,12,0,1,0,,20376.38,22110.48,23495.85,0,,2
,51,12,0,1,0,,11755.6,10741.94,8866.359,0,,2
,51,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,51,12,0,1,0,,10648.62,4434.629,0,0,,2
,51,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,39,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,39,10,0,1,1,,25862.32,25243.55,25564.67,0,,2
,54,6,0,1,1,,14451.55,14915.18,16450.05,1,,2
,51,1,0,1,1,,20309.76,13584.97,0,0,,2
,47,18,0,1,0,,17999.78,23184.68,25564.67,0,,2
,47,16,0,1,0,,25260.83,25243.55,4422.835,0,,2
,47,14,0,1,0,,0,0,0,0,,2
,38,12,0,1,0,,25744.77,19570.02,16631.81,0,,2
,38,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,43,14,0,1,0,,21996.69,23066.52,594.0461,0,,2
,47,13,0,1,0,,3309.202,762.6774,1915.134,0,,2
,47,12,0,1,0,,25862.32,23979.58,25564.67,0,,2
,47,12,0,1,0,,9860.99,13128.44,6598.049,0,,2
,47,12,0,1,0,,23370.13,3827.71,23225.43,0,,2
,47,12,0,1,0,,25862.32,25243.55,20609.85,0,,2
,47,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,47,12,0,1,0,,3136.786,2866.306,4945.951,0,,2
,47,12,0,1,0,,10897.44,20316.58,19395.16,0,,2
,47,12,0,1,0,,14392.77,9538.839,664.9769,0,,2
,47,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,47,12,0,1,0,,15356.73,5934.919,11051.92,0,,2
,43,12,0,1,0,,0,18212.95,12893.16,0,,2
,43,12,0,1,0,,0,0,0,0,,2
,43,12,0,1,0,,25862.32,23243.76,25564.67,0,,2
,43,12,0,1,0,,0,0,0,0,,2
,43,12,0,1,0,,24747.5,22597.45,12305.03,0,,2
,43,12,0,1,0,,19334.04,17996.32,19664.11,0,,2
,43,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,43,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,43,12,0,1,0,,25862.32,25243.55,13119.26,0,,2
,43,12,0,1,0,,12968.39,16773.53,21944.24,0,,2
,43,12,0,1,0,,21395.19,19550.32,21211.29,0,,2
,43,12,0,1,0,,23961.83,22735.31,20298.05,0,,2
,43,9,0,1,1,,23091.92,21363.92,25508.52,0,,2
,50,18,0,1,0,,23203.6,25243.55,25564.67,0,,2
,50,18,0,1,0,,25862.32,25243.55,25564.67,0,,2
,50,18,0,1,0,,25836.85,25243.55,25564.67,0,,2
,50,18,0,1,0,,25862.32,25243.55,7573.349,0,,2
,43,8,0,1,1,,14784.63,14250.97,7815.696,0,,2
,43,8,0,1,1,,23089.96,21548.32,20738.41,0,,2
,43,8,0,1,1,,22966.53,22640.42,21846.71,0,,2
,53,16,0,1,0,,25862.32,25243.55,25564.67,0,,2
,50,16,0,1,0,,25862.32,25243.55,25564.67,0,,2
,18,11,0,0,1,,460.4277,179.0323,25564.67,0,,2
,47,12,0,1,0,,0,0,0,1,,2
,18,12,0,0,0,,0,1416.145,11273.58,0,,2
,50,13,0,1,0,,25862.32,25243.55,25564.67,0,,2
,50,13,0,1,0,,0,4305.726,16651.02,0,,2
,53,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,53,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,53,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,53,12,0,1,0,,0,0,0,0,,2
,53,12,0,1,0,,19927.7,18323.95,13943.83,0,,2
,53,12,0,1,0,,1782.933,1765.258,0,0,,2
,53,12,0,1,0,,25862.32,21005.86,19050.85,0,,2
,53,12,0,1,0,,21140.49,21063.14,22032.9,0,,2
,53,12,0,1,0,,2917.348,1801.065,1338.82,0,,2
,53,12,0,1,0,,25787.87,25243.55,25564.67,0,,2
,53,12,0,1,0,,16322.65,21986.95,18564.68,0,,2
,53,12,0,1,0,,20533.12,18263.08,18072.6,0,,2
,53,10,0,1,1,,17220,15269.66,0,0,,2
,53,10,0,1,1,,9392.725,10473.39,8128.974,0,,2
,50,12,0,1,0,,0,0,0,0,,2
,50,12,0,1,0,,0,0,0,0,,2
,50,12,0,1,0,,25862.32,25243.55,25168.64,0,,2
,50,12,0,1,0,,23086.04,24441.48,25564.67,0,,2
,37,14,0,1,0,,23317.23,23399.52,25564.67,0,,2
,53,7,0,1,1,,19257.63,10331.95,8739.275,0,,2
,53,7,0,1,1,,20825.05,18488.66,18690.29,0,,2
,37,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,19,13,0,0,0,,3871.511,4916.226,1687.564,0,,2
,53,6,0,1,1,,15983.7,17999.9,18162.74,0,,2
,19,12,0,0,0,,1383.242,134.2742,2107.238,0,,2
,19,12,0,0,0,,6005.153,8242.646,15368.36,0,,2
,46,18,0,1,0,,25862.32,25243.55,25564.67,0,,2
,46,18,0,1,0,,25862.32,25243.55,1182.181,0,,2
,42,14,0,1,0,,0,7095.048,10790.36,0,,2
,20,12,0,0,0,,0,1147.597,15554.55,0,,2
,42,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,42,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,42,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,42,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,42,12,0,1,0,,25862.32,20782.06,16445.62,0,,2
,42,12,0,1,0,,25862.32,25223.86,22858.95,0,,2
,42,12,0,1,0,,20039.38,25243.55,25564.67,0,,2
,20,12,0,0,0,,6882.904,4482.968,7709.299,0,,2
,20,12,0,0,0,,5084.297,8745.726,21251.19,0,,2
,20,12,0,0,0,,239.0305,19.69355,8653.566,0,,2
,20,12,0,0,0,,8048.668,8579.226,6671.936,0,,2
,46,14,0,1,0,,16497.03,14267.08,20896.53,0,,2
,46,14,0,1,0,,8097.65,13740.73,5346.415,0,,2
,46,14,0,1,0,,25862.32,25243.55,25564.67,0,,2
,46,14,0,1,0,,25862.32,25243.55,25564.67,0,,2
,46,13,0,1,0,,14216.44,15121.06,16012.65,0,,2
,46,12,0,1,0,,22380.71,20753.42,16993.86,0,,2
,46,12,0,1,0,,19743.53,21206.37,25564.67,0,,2
,46,12,0,1,0,,14098.88,14009.27,14271.88,0,,2
,46,12,0,1,0,,9794.375,21483.87,17732.72,0,,2
,46,12,0,1,0,,18636.54,18214.74,20485.72,0,,2
,46,12,0,1,0,,16743.89,16445.9,17302.7,0,,2
,46,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,46,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,46,12,0,1,0,,25862.32,25243.55,0,0,,2
,46,12,0,1,0,,6073.727,537.0968,0,0,,2
,46,12,0,1,0,,13319.1,20069.52,10431.27,0,,2
,46,12,0,1,0,,0,0,0,0,,2
,46,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,36,13,0,1,0,,25862.32,25243.55,25564.67,0,,2
,46,10,0,1,1,,10237.17,7959.774,13111.87,0,,2
,36,12,0,1,0,,0,0,0,0,,2
,55,18,0,1,0,,25862.32,25243.55,25564.67,0,,2
,55,18,0,1,0,,25862.32,25243.55,25564.67,0,,2
,55,16,0,1,0,,25862.32,25243.55,25564.67,0,,2
,55,16,0,1,0,,25862.32,25243.55,22349.14,0,,2
,55,16,0,1,0,,0,3512.613,16794.36,0,,2
,55,15,0,1,0,,0,0,0,0,,2
,55,14,0,1,0,,4120.338,6853.355,1663.92,0,,2
,22,12,0,0,0,,666.1507,68.03226,0,0,,2
,55,13,0,1,0,,21790.96,19532.42,19377.43,0,,2
,55,11,0,1,1,,12190.56,13099.79,17521.4,0,,2
,55,11,0,1,1,,13902.96,13355.81,16124.95,0,,2
,55,11,0,1,1,,12071.04,11946.82,7224.605,0,,2
,49,17,0,1,0,,25862.32,25243.55,25564.67,0,,2
,55,12,0,1,0,,25860.36,5295.774,5646.393,0,,2
,55,12,0,1,0,,18178.08,15833.61,14973.8,0,,2
,55,12,0,1,0,,16056.19,15595.5,16235.78,0,,2
,55,12,0,1,0,,0,0,0,0,,2
,55,12,0,1,0,,0,0,0,0,,2
,55,12,0,1,0,,25862.32,25243.55,0,0,,2
,55,12,0,1,0,,0,0,0,0,,2
,55,12,0,1,0,,24181.27,24165.77,25564.67,0,,2
,55,12,0,1,0,,23158.53,24525.63,7226.083,0,,2
,55,12,0,1,0,,17368.9,16630.31,20920.18,0,,2
,55,12,0,1,0,,25862.32,24690.34,23129.38,0,,2
,55,12,0,1,0,,25862.32,18941.61,22853.04,0,,2
,55,12,0,1,0,,5770.041,8817.339,22740.73,0,,2
,55,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,55,12,0,1,0,,25862.32,11544,22164.42,0,,2
,55,12,0,1,0,,18846.19,18266.66,17995.75,0,,2
,55,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,55,12,0,1,0,,25862.32,25243.55,19200.1,0,,2
,55,10,0,1,1,,21828.19,23127.39,16779.59,0,,2
,49,16,0,1,0,,25862.32,25243.55,25564.67,0,,2
,49,16,0,1,0,,22319.97,20180.52,19761.64,0,,2
,49,16,0,1,0,,25862.32,25243.55,25564.67,0,,2
,52,18,0,1,0,,25862.32,25243.55,25564.67,0,,2
,52,18,0,1,0,,25862.32,25243.55,24701.68,0,,2
,49,15,0,1,0,,14704.3,15514.94,18088.85,0,,2
,52,17,0,1,0,,0,0,5415.868,0,,2
,55,8,0,1,1,,25862.32,25243.55,24395.79,0,,2
,55,8,0,1,1,,25862.32,25243.55,25564.67,0,,2
,52,16,0,1,0,,25862.32,25243.55,25564.67,0,,2
,52,16,0,1,0,,25862.32,20912.76,5331.638,0,,2
,49,13,0,1,0,,25862.32,25243.55,24803.64,0,,2
,52,15,0,1,0,,23955.96,25243.55,24075.12,0,,2
,52,15,0,1,0,,25862.32,25243.55,25564.67,0,,2
,52,15,0,1,0,,0,0,0,0,,2
,55,6,0,1,1,,15374.37,13776.53,14305.87,0,,2
,41,14,0,1,0,,25862.32,25243.55,25564.67,0,,2
,41,14,0,1,0,,25862.32,15319.79,16342.18,0,,2
,35,12,0,1,0,,9067.486,9103.79,10923.35,0,,2
,49,12,0,1,0,,0,0,0,0,,2
,49,12,0,1,0,,12754.83,25243.55,8708.243,0,,2
,49,12,0,1,0,,11737.97,17661.53,22765.86,0,,2
,49,12,0,1,0,,25862.32,14965.31,24521.39,0,,2
,49,12,0,1,0,,25862.32,25243.55,11387.36,0,,2
,49,12,0,1,0,,25862.32,23308.21,24635.18,0,,2
,49,12,0,1,0,,10930.75,24543.53,21489.1,0,,2
,49,12,0,1,0,,0,0,0,0,,2
,49,12,0,1,0,,19298.78,21340.64,14762.49,0,,2
