treated,age,educ,nodegree,married,black,hisp,moa,re75,re76,re77,re78,re79,re74,afdc75,nchildren75,zero74,zero75,redif,lalonde,psid1,psid2,sample_lalonde,sample_dw,sample_early,sample
0,45,12,0,0,1,0,-13,0,693.4296,0,0,225.7619,0,1,1,1,1,225.7619,1,0,0,1,1,1,1
1,35,9,1,0,1,0,-13,0,541.1884,8694.023,,8578.672,0,1,4,1,1,8578.672,1,0,0,1,1,1,1
1,29,11,1,0,1,0,-7,1088.98,453.7416,5185.352,4620.078,8601.919,1088.98,1,1,0,0,7512.939,1,0,0,1,,,1
0,29,12,0,0,1,0,-9,809.6768,1352.6,4329.342,8692.212,0,809.6768,1,3,0,0,-809.6768,1,0,0,1,,,1
0,45,9,1,0,1,0,-18,0,2300.199,4336.05,,2536.502,0,1,2,1,1,2536.502,1,0,0,1,1,1,1
1,22,11,1,0,1,0,-16,1311.848,2801.726,246.8567,,0,0,1,1,1,0,-1311.848,1,0,0,1,1,1,1
1,27,12,0,0,1,0,-6,0,0,4925.236,5788.293,10720.28,0,1,2,1,1,10720.28,1,0,0,1,1,,1
0,46,9,1,0,1,0,-19,0,,,,,0,1,3,1,1,,0,0,0,1,1,1,1
0,22,12,0,0,1,0,-15,1231.46,0,0,,0,1641.947,1,1,0,0,-1231.46,1,0,0,1,1,1,1
1,41,12,0,0,1,0,-15,0,2591.383,6829.234,4225.111,0,0,1,5,1,1,0,1,0,0,1,1,1,1
1,33,10,1,0,1,0,-19,8569.352,5073.573,,,12172.69,11108.91,1,3,0,0,3603.341,1,0,0,1,1,1,1
0,25,11,1,0,1,0,-9,2513.002,628.2504,,,,2513.002,1,1,0,0,,0,0,0,1,,,1
1,29,12,0,0,1,0,-9,0,216.9358,4145.521,3211.855,0,0,1,2,1,1,0,1,0,0,1,1,,1
0,27,11,1,0,1,0,-7,741.1345,308.806,291.2852,0,,741.1345,1,2,0,0,,0,0,0,1,,,1
0,24,10,1,0,1,0,-11,0,0,1916.408,8208.443,10425.33,0,1,2,1,1,10425.33,1,0,0,1,1,,1
0,27,10,1,0,1,0,-6,0,0,3201.274,8073.521,8548.767,0,1,2,1,1,8548.767,1,0,0,1,1,,1
1,30,8,1,0,1,0,-15,0,7935.574,4202.125,0,8152.406,0,1,6,1,1,8152.406,1,0,0,1,1,1,1
1,40,12,0,0,1,0,-13,0,833.1537,9477.046,8590.785,10286.27,0,1,2,1,1,10286.27,1,0,0,1,1,1,1
1,35,8,1,0,1,0,-5,0,0,4636.422,,8133.38,0,1,3,1,1,8133.38,1,0,0,1,1,,1
0,49,10,1,0,1,0,-7,0,0,0,502.3922,,0,1,2,1,1,,0,0,0,1,1,,1
1,53,12,0,0,0,0,-15,0,2807.315,11400.11,1942.342,9972.459,0,1,1,1,1,9972.459,1,0,0,1,1,1,1
1,36,10,1,0,1,0,-7,0,0,5470.785,8218.62,8368.637,0,1,4,1,1,8368.637,1,0,0,1,1,,1
0,30,12,0,0,1,0,-8,190.9974,184.2525,,,12042.56,190.9974,1,1,0,0,11851.56,1,0,0,1,,,1
0,34,11,1,0,1,0,-9,0,0,0,0,,0,1,3,1,1,,0,0,0,1,1,,1
0,44,10,1,0,1,0,-17,0,0,0,,0,0,1,4,1,1,0,1,0,0,1,1,1,1
1,29,9,1,0,1,0,-13,0,631.3892,10423.99,,19678.47,0,1,5,1,1,19678.47,1,0,0,1,1,1,1
1,33,0,1,0,0,1,-13,5318.252,4324.159,,,8940.557,5335.2,1,1,0,0,3622.304,1,0,0,1,1,1,1
1,27,12,0,0,1,0,-14,80.26376,3206.267,6482.634,806.7358,2709.065,0,1,1,1,0,2628.801,1,0,0,1,1,1,1
0,36,8,1,0,1,0,-13,200.0792,4792.233,683.2013,0,0,0,1,4,1,0,-200.0792,1,0,0,1,1,1,1
0,30,10,1,0,1,0,-9,0,0,,,,0,1,3,1,1,,0,0,0,1,1,,1
0,26,12,0,0,1,0,-5,0,221.128,526.0278,0,0,0,1,1,1,1,0,1,0,0,1,1,,1
0,24,12,0,0,1,0,-11,0,0,,,8299.527,0,1,3,1,1,8299.527,1,0,0,1,1,,1
1,30,12,0,0,1,0,-7,0,0,3391.286,0,,0,1,2,1,1,,0,0,0,1,1,,1
1,28,10,1,0,1,0,-5,0,0,1173.332,,,0,1,2,1,1,,0,0,0,1,1,,1
1,28,11,1,0,1,0,-7,0,0,6232.016,4336.902,12656.78,0,1,4,1,1,12656.78,1,0,0,1,1,,1
0,22,12,0,0,1,0,-5,0,0,2919.622,1119.73,0,0,1,1,1,1,0,1,0,0,1,1,,1
0,29,10,1,0,1,0,-11,0,0,7103.907,8554.657,8092.039,0,1,4,1,1,8092.039,1,0,0,1,1,,1
0,42,14,0,0,1,0,-8,0,0,2448.661,0,0,0,1,0,1,1,0,1,0,0,1,1,,1
1,48,9,1,0,1,0,-13,232.452,0,258.4068,516.8137,0,253.584,1,2,0,0,-232.452,1,0,0,1,1,1,1
0,27,12,0,0,1,0,-7,0,0,0,,,0,1,2,1,1,,0,0,0,1,1,,1
1,32,9,1,0,0,1,-11,0,0,8622.355,6463.683,8645.395,0,1,2,1,1,8645.395,1,0,0,1,1,,1
1,39,11,1,0,1,0,-18,0,5212.724,2544.849,,,0,1,5,1,1,,0,0,0,1,1,1,1
0,23,12,0,0,1,0,-5,0,575.0307,1282.235,6841.869,,0,1,1,1,1,,0,0,0,1,1,,1
1,29,-5,1,0,1,0,-5,0,0,3774.732,6080.453,,0,1,4,1,1,,0,0,0,1,1,,1
1,26,10,1,0,0,1,-13,0,567.6013,7849.219,,8285.977,0,1,1,1,1,8285.977,1,0,0,1,1,1,1
0,36,10,1,0,0,1,-12,0,0,0,0,0,0,1,3,1,1,0,1,0,0,1,1,,1
1,33,8,1,0,1,0,-13,0,752.8088,8231.142,,9971.271,0,1,3,1,1,9971.271,1,0,0,1,1,1,1
1,25,9,1,0,1,0,-21,0,4245.378,0,,0,0,1,3,1,1,0,1,0,0,1,1,1,1
0,26,11,1,0,1,0,-10,0,0,0,1629.91,0,0,1,1,1,1,0,1,0,0,1,1,,1
1,28,10,1,0,1,0,-20,859.1653,5842.103,,,,2577.496,1,1,0,0,,0,0,0,1,1,1,1
0,33,11,1,0,1,0,-20,736.4274,0,,,,2209.282,1,2,0,0,,0,0,0,1,1,1,1
0,32,11,1,0,1,0,-11,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,,1
1,32,7,1,0,1,0,-11,0,0,9127.603,806.208,0,0,1,5,1,1,0,1,0,0,1,1,,1
0,47,3,1,0,1,0,-8,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,,1
1,42,9,1,0,1,0,-22,0,9451.338,12038.9,,,0,1,4,1,1,,0,0,0,1,1,1,1
1,41,8,1,0,0,1,-9,0,0,5376.885,2706.517,0,0,1,1,1,1,0,1,0,0,1,1,,1
1,39,11,1,0,1,0,-13,440.1534,2156.196,5640.058,5043.631,1672.391,0,1,3,1,0,1232.238,1,0,0,1,1,1,1
1,39,5,1,0,1,0,-12,0,0,9003.57,,0,0,1,4,1,1,0,1,0,0,1,1,,1
0,40,12,0,0,1,0,-10,0,0,,623.7173,1865.779,0,1,2,1,1,1865.779,1,0,0,1,1,,1
1,29,10,1,0,1,0,-7,911.9299,379.9708,4392.933,10618.67,,911.9299,1,4,0,0,,0,0,0,1,,,1
0,28,12,0,0,0,1,-6,0,0,1518.931,,,0,1,3,1,1,,0,0,0,1,1,,1
0,36,12,0,0,1,0,-10,0,0,,9918.951,9730.356,0,1,1,1,1,9730.356,1,0,0,1,1,,1
0,26,10,1,0,1,0,-11,2545.699,245.7137,976.167,0,0,2545.699,1,2,0,0,-2545.699,1,0,0,1,,,1
0,41,12,0,0,0,1,-10,0,0,,,,0,1,3,1,1,,0,0,0,1,1,,1
1,30,10,1,0,1,0,-13,1726.22,687.0911,8322.601,,8591.265,1883.149,1,2,0,0,6865.044,1,0,0,1,1,1,1
0,32,8,1,0,1,0,-11,856.1854,1806.157,0,0,0,856.1854,1,3,0,0,-856.1854,1,0,0,1,,,1
0,31,6,1,0,0,1,-11,0,0,0,5512.568,0,0,1,5,1,1,0,1,0,0,1,1,,1
1,38,12,0,0,1,0,-11,1388.524,517.6486,10442.13,19285.13,25214.96,1388.524,1,4,0,0,23826.43,1,0,0,1,,,1
1,32,6,1,0,1,0,-10,0,0,7733.999,1871.183,,0,1,2,1,1,,0,0,0,1,1,,1
0,27,10,1,1,1,0,-5,0,0,0,0,2076.132,0,1,1,1,1,2076.132,1,0,0,1,1,,1
0,46,6,1,1,1,0,-19,0,438.9368,0,,798.3813,0,1,2,1,1,798.3813,1,0,0,1,1,1,1
1,33,9,1,0,0,1,-5,0,0,3015.88,5194.188,7913.664,0,1,3,1,1,7913.664,1,0,0,1,1,,1
0,31,12,0,0,1,0,-5,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,,1
1,51,12,0,0,1,0,-16,7507.817,8309.753,10338.05,,10789.39,7626.194,1,1,0,0,3281.568,1,0,0,1,1,1,1
0,33,12,0,0,1,0,-5,564.3965,951.8491,1438.957,405.0482,0,564.3965,1,2,0,0,-564.3965,1,0,0,1,,,1
1,25,11,1,0,1,0,-9,3666.178,3520.525,1028.397,0,3218.442,3666.178,1,2,0,0,-447.7354,1,0,0,1,,,1
0,26,9,1,0,1,0,-16,0,0,1370.734,,,0,1,1,1,1,,0,0,0,1,1,1,1
0,25,12,0,0,0,1,-12,0,0,0,0,7554.918,0,1,1,1,1,7554.918,1,0,0,1,1,,1
0,43,10,1,0,1,0,-21,0,0,0,,0,0,1,2,1,1,0,1,0,0,1,1,1,1
0,34,10,1,0,1,0,-12,0,0,0,,0,0,1,4,1,1,0,1,0,0,1,1,,1
0,23,5,1,0,0,1,-9,0,0,0,0,,0,1,2,1,1,,0,0,0,1,1,,1
1,33,12,0,0,1,0,-18,306.2604,3121.643,9359.796,,12223.29,612.5208,1,2,0,0,11917.03,1,0,0,1,1,1,1
1,29,10,1,0,1,0,-13,0,687.0911,11428.44,,,0,1,1,1,1,,0,0,0,1,1,1,1
1,35,11,1,0,1,0,-5,0,0,3317.517,,1593.142,0,1,1,1,1,1593.142,1,0,0,1,1,,1
1,35,11,1,0,1,0,-13,0,0,4184.664,,,0,1,3,1,1,,0,0,0,1,1,1,1
1,32,12,0,0,1,0,-13,0,687.0911,3857.442,,0,0,1,1,1,1,0,1,0,0,1,1,1,1
1,46,5,1,0,0,0,-11,0,0,6005.132,0,2879.477,0,1,1,1,1,2879.477,1,0,0,1,1,,1
1,47,10,1,0,0,0,-17,0,3752.678,1475.082,,0,0,1,1,1,1,0,1,0,0,1,1,1,1
0,38,11,1,0,1,0,-13,0,1739.533,6080.513,,12780.2,0,1,1,1,1,12780.2,1,0,0,1,1,1,1
1,43,9,1,0,1,0,-12,0,0,8120.262,768.5121,0,0,1,3,1,1,0,1,0,0,1,1,,1
0,29,11,1,0,1,0,-9,0,0,3713.32,,,0,1,3,1,1,,0,0,0,1,1,,1
1,23,10,1,0,1,0,-9,0,0,6279.062,982.35,0,0,1,2,1,1,0,1,0,0,1,1,,1
0,50,9,1,0,1,0,-8,0,0,0,0,12866.49,0,1,2,1,1,12866.49,1,0,0,1,1,,1
0,40,12,0,0,0,1,-11,2950.507,245.8756,0,0,0,2950.507,1,6,0,0,-2950.507,1,0,0,1,,,1
1,52,5,1,0,1,0,-20,0,6753.964,3827.295,,0,0,1,2,1,1,0,1,0,0,1,1,1,1
1,24,13,0,0,1,0,-11,2082.786,173.5655,,,,2082.786,1,1,0,0,,0,0,0,1,,,1
0,29,9,1,0,0,0,-8,0,0,1372.897,0,0,0,1,2,1,1,0,1,0,0,1,1,,1
1,25,8,1,0,1,0,-14,0,1720.706,9422.015,1789.576,0,0,1,1,1,1,0,1,0,0,1,1,1,1
0,28,9,1,0,1,0,-9,0,0,151.8931,5640.221,0,0,1,4,1,1,0,1,0,0,1,1,,1
1,37,10,1,0,1,0,-19,0,4707.817,10760.07,,11745.81,0,1,2,1,1,11745.81,1,0,0,1,1,1,1
0,39,11,1,0,1,0,-11,10704.28,1144.225,,,4309.188,10704.28,1,2,0,0,-6395.087,1,0,0,1,,,1
0,45,6,1,0,0,1,-11,0,538.1188,4786.042,4233.887,4011.385,0,1,1,1,1,4011.385,1,0,0,1,1,,1
1,26,11,1,0,1,0,-12,0,0,4667.394,,,0,1,2,1,1,,0,0,0,1,1,,1
1,25,11,1,0,1,0,-19,390.1336,2488.456,1910.879,,0,0,1,1,1,0,-390.1336,1,0,0,1,1,1,1
1,42,12,0,0,1,0,-14,0,1433.911,8438.827,134.3732,0,0,1,4,1,1,0,1,0,0,1,1,1,1
0,26,12,0,0,1,0,-20,0,,,,,0,1,3,1,1,,0,0,0,1,1,1,1
0,32,9,1,0,1,0,-17,1371.934,220.596,0,,,2351.887,1,2,0,0,,0,0,0,1,1,1,1
1,37,11,1,0,1,0,-9,6523.865,3485.104,6191.112,10437.76,10374.41,6523.865,1,3,0,0,3850.543,1,0,0,1,,,1
0,23,12,0,0,1,0,-6,0,163.6558,318.5394,0,6591.154,0,1,1,1,1,6591.154,1,0,0,1,1,,1
1,35,12,0,0,1,0,-12,0,0,,,8676.793,0,1,1,1,1,8676.793,1,0,0,1,1,,1
1,33,11,1,0,1,0,-7,0,0,4754.123,8839.719,17461.87,0,1,1,1,1,17461.87,1,0,0,1,1,,1
1,31,11,1,0,1,0,-13,0,699.0367,9634.988,,9830.938,0,1,3,1,1,9830.938,1,0,0,1,1,1,1
0,50,11,1,0,1,0,-13,0,0,0,,0,0,1,3,1,1,0,1,0,0,1,1,1,1
0,29,12,0,0,1,0,-19,0,,,,0,0,1,1,1,1,0,1,0,0,1,1,1,1
